group_feature,lower,upper,rows_clipped,low_q,high_q
bipolar:head_velocity_peak__min,0.22877836,3.16801608,34,0.005,0.995
bipolar:head_velocity_peak__max,0.22877836,3.16801608,0,0.005,0.995
bipolar:head_velocity_peak__range,0.0,2.70108457,149,0.005,0.995
bipolar:head_velocity_peak__slope,-0.9082255454646678,0.7787173573927909,600,0.01,0.99
bipolar:head_motion_energy__mean,0.09043973232472391,10.201970603007716,300,0.005,0.995
bipolar:head_motion_energy__std,0.000972759744955472,4.9030070002657515,300,0.005,0.995
bipolar:head_motion_energy__min,0.07129626,10.15410195,129,0.005,0.995
bipolar:head_motion_energy__max,0.13424334,10.23478132,149,0.005,0.995
bipolar:head_motion_energy__range,0.0,10.01707075,141,0.005,0.995
bipolar:head_motion_energy__slope,-3.081269432933413,1.3453149929970427,600,0.01,0.99
bipolar:motion_energy_floor_score__mean,0.5727549287475335,0.918985579471496,300,0.005,0.995
bipolar:motion_energy_floor_score__std,0.0014702215603023844,0.07682764030842415,300,0.005,0.995
bipolar:motion_energy_floor_score__min,0.53666667,0.90321322,205,0.005,0.995
bipolar:motion_energy_floor_score__max,0.63066667,0.93532018,144,0.005,0.995
bipolar:motion_energy_floor_score__range,0.0,0.2633333299999999,150,0.005,0.995
bipolar:motion_energy_floor_score__slope,-0.04915227921563586,0.046573832400033155,600,0.01,0.99
bipolar:landmark_displacement_mean__mean,0.0012364764098476229,0.01330951026192808,300,0.005,0.995
bipolar:landmark_displacement_mean__std,0.000556923974577195,0.034396250373404984,300,0.005,0.995
bipolar:landmark_displacement_mean__min,0.00038275,0.002154723240034519,150,0.005,0.995
bipolar:landmark_displacement_mean__max,0.0027862138910216437,0.15125208,150,0.005,0.995
bipolar:landmark_displacement_mean__range,0.0013614003793589692,0.15086933,150,0.005,0.995
bipolar:landmark_displacement_mean__slope,-0.00393803957141808,0.0052317918937369225,600,0.01,0.99
bipolar:gesture_frequency__mean,0.4199945416429449,0.9882516722991642,300,0.005,0.995
bipolar:gesture_frequency__std,1.1197799302441655e-16,0.2454007764497077,300,0.005,0.995
bipolar:gesture_frequency__min,0.1,0.92,68,0.005,0.995
bipolar:gesture_frequency__max,0.5,1.0,16,0.005,0.995
bipolar:gesture_frequency__range,0.0,0.76,149,0.005,0.995
bipolar:gesture_frequency__slope,-0.059711484248395987,0.09925523623411628,600,0.01,0.99
bipolar:posture_rigidity_index__mean,0.9166818652488065,0.9986261898326707,300,0.005,0.995
bipolar:posture_rigidity_index__std,2.5476665608082826e-05,0.02350000261709118,300,0.005,0.995
bipolar:posture_rigidity_index__min,0.91111917,0.9984834,116,0.005,0.995
bipolar:posture_rigidity_index__max,0.9362969,0.99874483,140,0.005,0.995
bipolar:posture_rigidity_index__range,0.0,0.07696192,146,0.005,0.995
bipolar:posture_rigidity_index__slope,-0.01336201108089893,0.013318214846576483,600,0.01,0.99
bipolar:micro_motion_energy__mean,0.022362835205759747,35.36142705187952,300,0.005,0.995
bipolar:micro_motion_energy__std,0.018733775011663147,125.46282326317248,300,0.005,0.995
bipolar:micro_motion_energy__min,0.00109992,0.05429417,117,0.005,0.995
bipolar:micro_motion_energy__max,0.07116158,567.75050388,107,0.005,0.995
bipolar:micro_motion_energy__range,0.06325665183031833,567.74923386,243,0.005,0.995
bipolar:micro_motion_energy__slope,-8.172714102068365,14.44846980575994,600,0.01,0.99
bipolar:blink_rate__mean,1.6703357971012414,37.560225410043905,300,0.005,0.995
bipolar:blink_rate__std,0.0,2.2689120167169956,150,0.005,0.995
bipolar:blink_rate__min,0.0,36.0,147,0.005,0.995
bipolar:blink_rate__max,3.0,38.0,84,0.005,0.995
bipolar:blink_rate__range,0.0,9.0,84,0.005,0.995
bipolar:blink_rate__slope,-1.0388878866818865,1.4158911089116641,600,0.01,0.99
bipolar:blink_duration__mean,0.14793652549524058,0.4368220181015627,300,0.005,0.995
bipolar:blink_duration__std,0.0,0.10757746159599145,150,0.005,0.995
bipolar:blink_duration__min,0.0,0.41667347,147,0.005,0.995
bipolar:blink_duration__max,0.16574508,0.45471632,148,0.005,0.995
