,count,mean,std,min,1%,5%,50%,95%,99%,max,missing_count,missing_ratio,zero_ratio,n_unique,iqr
head_motion_energy__std,180000.0,4.107726823811745,5.489439497143519,3.887407184728124e-05,0.000977003031143853,0.00339491379949402,1.221137811796747,16.14510050252408,16.78171843782792,35.335229205442495,0,0.0,0.0,177967,
head_velocity_peak__max,180000.0,6.613264868868733,3.7743569966678345,0.08198414,0.22104574,0.47352914,7.505427143024556,14.115072298326378,14.115072298326378,14.115072298326378,0,0.0,0.0,4178,
head_velocity_peak__mean,180000.0,3.183877964288483,1.6061999149333341,0.0819841399999999,0.19330690010308368,0.3444781799999999,3.4916171241971914,5.660128992244991,8.762157334232262,10.514477640000004,0,0.0,0.0,143238,
head_velocity_peak__min,180000.0,1.065193918097627,1.8982100146082943,0.0,0.0,0.0,0.1223573415709711,5.39668868,8.33624856,10.51447764,0,0.0,0.48411666666666664,5473,
head_velocity_peak__range,180000.0,5.548070950771106,4.502037944307797,0.0,0.0,0.0,7.074569410621464,14.115072298326378,14.115072298326378,14.115072298326378,0,0.0,0.12575555555555556,16263,
head_velocity_peak__slope,180000.0,0.0061325630383019065,0.4744909930639294,-8.701660761605417,-1.5384714351862179,-0.375585596654304,0.0,0.4069217296500836,1.5026652675873058,9.567471327928969,0,0.0,0.06538333333333333,166194,
head_velocity_peak__std,180000.0,1.2968976007312967,1.0430343638544721,0.0,0.0,0.0,1.7252029975221808,2.786613098432986,3.2825993883766382,5.148040182247788,0,0.0,0.06641111111111112,156285,
landmark_displacement_mean__max,180000.0,0.0311602871989178,0.024581030834609562,0.0006508248844658,0.001715475007181357,0.00324143,0.0303817142497511,0.07836484,0.1328254,0.15125208,0,0.0,0.0,13198,
landmark_displacement_mean__mean,180000.0,0.00526802700858815,0.0023684451555594788,0.0003627191376511,0.000783661908746129,0.0013089968642846649,0.0051545835321883,0.00852458798200972,0.010241338735334353,0.0189782139285058,0,0.0,0.0,177700,
landmark_displacement_mean__min,180000.0,0.0003692824000749817,0.000492113029575548,0.0,0.0,0.0,5.392e-05,0.00129963,0.00200699,0.00516994,0,0.0,0.5,13468,
landmark_displacement_mean__range,180000.0,0.030791004798842805,0.02459541082587724,0.0,0.001081284733463323,0.00252459,0.0303817142497511,0.07761706,0.13227965,0.15086933,0,0.0,0.0009833333333333332,56750,
landmark_displacement_mean__slope,180000.0,2.5066748537167434e-05,0.0016504824227522195,-0.0331959044770444,-0.004566390371642175,-0.0013616959409399698,2.0209687797650776e-06,0.0014532091612659429,0.0045929407608267785,0.0451989821178099,0,0.0,0.0,178066,
landmark_displacement_mean__std,180000.0,0.0066197769432499295,0.004668534274049964,9.647246082679332e-05,0.00033160402396537503,0.000628954632184195,0.0068989123887072505,0.0153275227666146,0.023009519974884318,0.0433685722544043,0,0.0,0.0,177617,
lip_compression_frequency__max,180000.0,0.3530026905302639,0.3721847178184367,0.0,0.0,0.0,0.2102056319324503,1.0,1.13333333,1.33333333,0,0.0,0.1833611111111111,3588,
lip_compression_frequency__mean,180000.0,0.22683043730644034,0.27575727412697293,0.0,0.0,0.0,0.080434998198048,0.7225749874780786,1.0911462309352378,1.33333333,0,0.0,0.18622222222222223,124383,
lip_compression_frequency__min,180000.0,0.10185825407243945,0.2378982713087914,0.0,0.0,0.0,0.0,0.7,1.03333333,1.33333333,0,0.0,0.6838277777777778,3419,
lip_compression_frequency__range,180000.0,0.2511444364578244,0.3460123883093225,0.0,0.0,0.0,0.16666666,1.0,1.0,1.0,0,0.0,0.28010555555555555,5720,
lip_compression_frequency__slope,180000.0,0.00019834232208873479,0.0084439695674606,-0.1086364678090039,-0.028381199936572937,-0.008098775660631444,0.0,0.009896691696243043,0.03208709902294967,0.1128561934125162,0,0.0,0.22712222222222223,137151,
lip_compression_frequency__std,180000.0,0.07011856657305504,0.10195240379765248,0.0,0.0,0.0,0.0456026838730943,0.2965812564034149,0.3050685841406826,0.3372849466363365,0,0.0,0.22687222222222223,131574,
mean_head_velocity__max,180000.0,0.20004970602783445,0.15950901515510213,0.01820015,0.03697446529644548,0.05320950053178465,0.11826679,0.5455433456642397,0.557107282533857,0.557107282533857,0,0.0,0.0,34986,
mean_head_velocity__mean,180000.0,0.11761249621548454,0.07670624130930785,0.0151273480690654,0.018422616043598745,0.019764812488834688,0.10801114405389785,0.25347063610376713,0.26407602599598023,0.3042918055292204,0,0.0,0.0,177868,
